country_code,year,age,mxM,mxF,mxB
404,2013,90,0.24736364,0.21141705,0.22447166
404,2013,91,0.26326483,0.22357823,0.23787687
404,2013,92,0.28481033,0.24426826,0.25873724
404,2013,93,0.30524688,0.2632484,0.27804068
404,2013,94,0.32686073,0.28415354,0.29899343
404,2013,95,0.34927896,0.30712104,0.32157764
404,2013,96,0.37101077,0.32846861,0.34281647
404,2013,97,0.39222613,0.34934065,0.36347251
404,2013,98,0.41282087,0.36954083,0.38335313
404,2013,99,0.4388864,0.39674844,0.40972366
404,2013,100,0.49495849,0.45787028,0.46856983
404,2014,0,0.04012068,0.03262109,0.03639924
404,2014,1,0.00545192,0.00576676,0.00560821
404,2014,2,0.00358159,0.00355151,0.00356666
404,2014,3,0.00249937,0.00239006,0.00244509
404,2014,4,0.00184174,0.00170864,0.0017756
404,2014,5,0.00139391,0.00129424,0.00134436
404,2014,6,0.00120001,0.00108458,0.00114258
404,2014,7,0.00108002,0.00096215,0.00102134
404,2014,8,0.00097601,0.00086932,0.00092287
404,2014,9,0.00090291,0.00081841,0.00086081
404,2014,10,0.00087733,0.00079282,0.00083519
404,2014,11,0.00089832,0.00078672,0.00084265
404,2014,12,0.00093753,0.00082623,0.00088197
404,2014,13,0.00101558,0.0009134,0.00096452
404,2014,14,0.00115808,0.00103603,0.00109701
404,2014,15,0.00136318,0.00121336,0.00128809
404,2014,16,0.00160614,0.00138246,0.00149389
404,2014,17,0.0019162,0.0015821,0.00174828
404,2014,18,0.0022479,0.0017989,0.00202194
404,2014,19,0.00249925,0.00200096,0.0022482
404,2014,20,0.00276028,0.00221541,0.00248551
404,2014,21,0.00301465,0.00237464,0.00269168
404,2014,22,0.00327228,0.0026045,0.00293521
404,2014,23,0.00351434,0.00283482,0.00317139
404,2014,24,0.00374704,0.00307331,0.00340717
404,2014,25,0.00400134,0.0033248,0.00366039
404,2014,26,0.0042374,0.00359896,0.00391614
404,2014,27,0.00451788,0.00387421,0.00419458
404,2014,28,0.00480205,0.0041172,0.00445873
404,2014,29,0.00509616,0.00440923,0.0047525
404,2014,30,0.00545459,0.00466863,0.00506226
404,2014,31,0.00574801,0.00489272,0.00532195
404,2014,32,0.00614152,0.00522032,0.0056834
404,2014,33,0.00653917,0.00551525,0.00603061
404,2014,34,0.00699747,0.00584348,0.00642484
404,2014,35,0.00748423,0.00624465,0.00686945
404,2014,36,0.00794311,0.0065679,0.00726125
404,2014,37,0.00845854,0.00690404,0.00768784
404,2014,38,0.0089576,0.0072565,0.00811393
404,2014,39,0.00945598,0.00759802,0.00853391
404,2014,40,0.01005309,0.00795136,0.00900932
404,2014,41,0.01049309,0.00829205,0.00939926
404,2014,42,0.01108212,0.00862189,0.0098584
404,2014,43,0.01164913,0.00900289,0.01033153
404,2014,44,0.01228246,0.00940413,0.01084785
404,2014,45,0.01301887,0.00988999,0.01145761
404,2014,46,0.01370887,0.0103585,0.01203506
404,2014,47,0.01448486,0.01090535,0.01269421
404,2014,48,0.01534395,0.0115039,0.01342013
404,2014,49,0.01621297,0.01213366,0.01416577
404,2014,50,0.01729514,0.0128157,0.01504266
404,2014,51,0.01806787,0.01340507,0.01571809
404,2014,52,0.01910896,0.01412609,0.01659206
404,2014,53,0.02005229,0.01479107,0.01738785
404,2014,54,0.02109764,0.01554353,0.01827689
404,2014,55,0.02227192,0.01636748,0.01926442
404,2014,56,0.02340397,0.01727384,0.02027179
404,2014,57,0.02473535,0.01825437,0.0214128
404,2014,58,0.02630534,0.01937681,0.02274047
404,2014,59,0.02802077,0.02060961,0.02419229
404,2014,60,0.03035595,0.02207792,0.02606078
404,2014,61,0.03214593,0.02359322,0.02768824
404,2014,62,0.03461614,0.02541978,0.02980071
404,2014,63,0.03694124,0.02735948,0.03189941
404,2014,64,0.03948298,0.02952917,0.03442951
404,2014,65,0.04224242,0.03199282,0.03718896
404,2014,66,0.04412119,0.0336677,0.03890124
404,2014,67,0.0463557,0.03564114,0.04088331
404,2014,68,0.04889451,0.03784774,0.04308283
404,2014,69,0.05158069,0.04018908,0.04541339
404,2014,70,0.05523555,0.04320364,0.04854148
404,2014,71,0.0580567,0.04567227,0.05097429
404,2014,72,0.06238857,0.04929797,0.05468631
404,2014,73,0.06635378,0.05259848,0.05804791
404,2014,74,0.07081244,0.05636304,0.06190893
404,2014,75,0.0757136,0.0604003,0.06613948
404,2014,76,0.0808416,0.06443231,0.07049333
404,2014,77,0.08632095,0.06850594,0.07504948
404,2014,78,0.09323907,0.07392538,0.08100693
404,2014,79,0.09975356,0.07840154,0.08622306
404,2014,80,0.10818764,0.08512072,0.09355851
404,2014,81,0.11656159,0.09142192,0.10061455
404,2014,82,0.12887418,0.10281548,0.11237032
404,2014,83,0.14049547,0.11315562,0.12319311
404,2014,84,0.1539479,0.1253067,0.13580038
404,2014,85,0.16654834,0.13700499,0.14781646
404,2014,86,0.18118518,0.15014593,0.16154198
404,2014,87,0.19574651,0.16277582,0.17496219
404,2014,88,0.21152144,0.17711249,0.18985124
404,2014,89,0.22748822,0.19118824,0.20452699
404,2014,90,0.24644896,0.21033874,0.22344234
404,2014,91,0.26238024,0.22249001,0.23679119
404,2014,92,0.28390351,0.24313724,0.25762948
404,2014,93,0.30434011,0.26209443,0.27696371
404,2014,94,0.32593978,0.28297273,0.29788139
404,2014,95,0.34829684,0.30591518,0.3203901
404,2014,96,0.37002217,0.32724719,0.34160037
404,2014,97,0.39123549,0.34810379,0.36225476
404,2014,98,0.4118334,0.36828696,0.38216601
404,2014,99,0.43790058,0.3955134,0.40852743
404,2014,100,0.49406389,0.45675711,0.46737032
404,2015,0,0.03933254,0.0318657,0.03562736
404,2015,1,0.00523068,0.00569964,0.00546346
404,2015,2,0.00343638,0.00350674,0.00347131
404,2015,3,0.0024018,0.00236025,0.00238117
404,2015,4,0.00177447,0.00168744,0.00173125
404,2015,5,0.00134601,0.00127813,0.00131228
404,2015,6,0.00116074,0.00107013,0.00111569
404,2015,7,0.00104678,0.00094816,0.00099771
404,2015,8,0.00094709,0.00085559,0.00090154
404,2015,9,0.00087702,0.00080443,0.00084086
404,2015,10,0.00085311,0.00077853,0.00081594
404,2015,11,0.00087482,0.00077223,0.00082366
404,2015,12,0.00091394,0.00081037,0.00086225
404,2015,13,0.00099122,0.00089472,0.00094301
404,2015,14,0.00113209,0.00101335,0.00107268
404,2015,15,0.00133512,0.00118498,0.00125987
404,2015,16,0.00157638,0.00134925,0.00146232
404,2015,17,0.0018832,0.00154226,0.00171165
404,2015,18,0.00221221,0.00175117,0.00197977
404,2015,19,0.00245763,0.00194592,0.00219921
404,2015,20,0.0027112,0.00215211,0.00242849
404,2015,21,0.00295815,0.00230536,0.00262775
404,2015,22,0.00320899,0.00252555,0.00286293
404,2015,23,0.00344539,0.00274642,0.0030915
404,2015,24,0.00367252,0.00297516,0.00331969
404,2015,25,0.0039213,0.00321549,0.0035646
404,2015,26,0.00415235,0.00347795,0.00381214
404,2015,27,0.00442723,0.00374186,0.00408231
404,2015,28,0.00470598,0.00397578,0.00433947
404,2015,29,0.00499522,0.00425544,0.00462488
404,2015,30,0.00534686,0.00450642,0.00492725
404,2015,31,0.005636,0.00472124,0.00518052
404,2015,32,0.00602264,0.00503841,0.00553376
404,2015,33,0.00641411,0.00532365,0.00587349
404,2015,34,0.00686619,0.00564116,0.00625967
404,2015,35,0.00734565,0.0060289,0.00669429
404,2015,36,0.00779907,0.00634329,0.0070792
404,2015,37,0.00830965,0.00666965,0.00749868
404,2015,38,0.00880509,0.00701517,0.00791978
404,2015,39,0.00930151,0.00734801,0.00833463
404,2015,40,0.00989445,0.00769702,0.00880576
404,2015,41,0.01033644,0.00802696,0.00919111
404,2015,42,0.01092395,0.00835724,0.0096499
404,2015,43,0.01149327,0.00872951,0.0101199
404,2015,44,0.01212713,0.00912378,0.01063289
404,2015,45,0.01286475,0.00960187,0.01123941
404,2015,46,0.01355894,0.0100609,0.01181414
404,2015,47,0.01433771,0.01059816,0.01246984
404,2015,48,0.01519803,0.01118952,0.01319278
404,2015,49,0.01607149,0.01180865,0.01393542
404,2015,50,0.01715426,0.01248739,0.01481107
404,2015,51,0.01793584,0.01306374,0.01548392
404,2015,52,0.01898093,0.01378398,0.01635886
404,2015,53,0.01993371,0.01444065,0.01715472
404,2015,54,0.02098764,0.0151868,0.01804425
404,2015,55,0.02217054,0.01600024,0.01902973
404,2015,56,0.02331298,0.01689816,0.02003704
404,2015,57,0.02465495,0.01786593,0.02117595
404,2015,58,0.0262308,0.01898136,0.02250196
404,2015,59,0.02795265,0.02019896,0.0239484
404,2015,60,0.03028647,0.02166709,0.02581529
404,2015,61,0.03208559,0.02315222,0.02742941
404,2015,62,0.0345574,0.02497109,0.02953691
404,2015,63,0.0368878,0.02688761,0.03162462
404,2015,64,0.03943537,0.02903314,0.03393223
404,2015,65,0.04220158,0.03147042,0.03671656
404,2015,66,0.04407644,0.03312658,0.0386352
404,2015,67,0.0463064,0.0350887,0.04066067
404,2015,68,0.0488358,0.03728759,0.04289306
404,2015,69,0.05151117,0.03960699,0.04520456
404,2015,70,0.05513433,0.0426261,0.04831823
404,2015,71,0.05794646,0.04506224,0.0507342
404,2015,72,0.06224461,0.04868334,0.05444464
404,2015,73,0.0661831,0.05196511,0.05777284
404,2015,74,0.07060738,0.05571711,0.06157129
404,2015,75,0.07546704,0.05974252,0.06573064
404,2015,76,0.08055687,0.06376886,0.07000858
404,2015,77,0.08598858,0.06783735,0.07448179
404,2015,78,0.09284732,0.07326255,0.08038719
404,2015,79,0.09930491,0.07775109,0.08557298
404,2015,80,0.10766237,0.08449508,0.09288934
404,2015,81,0.11602364,0.09077804,0.09990804
404,2015,82,0.1282822,0.10212001,0.11157631
404,2015,83,0.13986652,0.1124233,0.12236972
404,2015,84,0.15326926,0.12452879,0.1349589
404,2015,85,0.16584309,0.13619039,0.14693442
404,2015,86,0.18045165,0.14930918,0.16058482
404,2015,87,0.1949886,0.16190323,0.17391799
404,2015,88,0.21072877,0.17620006,0.18881109
404,2015,89,0.22668424,0.19025737,0.20357268
404,2015,90,0.24560248,0.20934953,0.22250685
404,2015,91,0.26156688,0.22149746,0.23586818
404,2015,92,0.28306921,0.24210698,0.25662404
404,2015,93,0.30350561,0.26104515,0.27595193
404,2015,94,0.32509083,0.28190043,0.29688296
404,2015,95,0.34738656,0.30482103,0.31934354
404,2015,96,0.36910486,0.32613965,0.34050986
404,2015,97,0.39031542,0.34698155,0.36113644
404,2015,98,0.41091528,0.36714738,0.3810459
404,2015,99,0.43698208,0.39439156,0.40745669
404,2015,100,0.4932291,0.45574552,0.46632042
404,2016,0,0.03855106,0.03110978,0.03485871
404,2016,1,0.00500389,0.00561724,0.00530835
404,2016,2,0.00329114,0.00345369,0.00337183
404,2016,3,0.00230365,0.00232368,0.00231359
404,2016,4,0.00170598,0.00166036,0.00168333
404,2016,5,0.00129624,0.00125691,0.0012767
404,2016,6,0.00111982,0.00105148,0.00108586
404,2016,7,0.00101214,0.00093092,0.00097176
404,2016,8,0.00091699,0.00083945,0.00087841
404,2016,9,0.00085015,0.00078885,0.00081962
404,2016,10,0.00082821,0.00076327,0.00079586
404,2016,11,0.00085101,0.00075715,0.00080423
404,2016,12,0.00089021,0.00079435,0.00084238
404,2016,13,0.00096675,0.00087647,0.00092164
404,2016,14,0.001106,0.00099191,0.00104891
404,2016,15,0.00130707,0.00115903,0.00123285
404,2016,16,0.00154649,0.00131942,0.00143237
404,2016,17,0.00185049,0.00150734,0.00167759
404,2016,18,0.00217717,0.00171016,0.00194125
404,2016,19,0.002417,0.00189935,0.00215486
404,2016,20,0.00266385,0.00209932,0.00237743
404,2016,21,0.00290445,0.00224805,0.00257098
404,2016,22,0.00315008,0.00246109,0.00279982
404,2016,23,0.00338258,0.00267505,0.00302292
404,2016,24,0.003606,0.00289668,0.00324573
404,2016,25,0.00385139,0.0031289,0.00348501
404,2016,26,0.00407936,0.00338289,0.00372696
404,2016,27,0.00435096,0.00363862,0.00399158
404,2016,28,0.00462662,0.00386592,0.00424416
404,2016,29,0.00491348,0.00413662,0.00452429
404,2016,30,0.0052613,0.00438134,0.00482198
404,2016,31,0.0055486,0.00458941,0.0050713
404,2016,32,0.00593096,0.00489882,0.00541901
404,2016,33,0.00631887,0.00517685,0.00575395
404,2016,34,0.00676773,0.00548637,0.00613515
404,2016,35,0.00724286,0.00586418,0.00656311
404,2016,36,0.00769343,0.00617175,0.0069437
404,2016,37,0.00820211,0.00649063,0.0073589
404,2016,38,0.00869609,0.00683042,0.00777655
404,2016,39,0.00919271,0.00715632,0.00818838
404,2016,40,0.00978387,0.00750131,0.00865689
404,2016,41,0.01022932,0.0078228,0.00903955
404,2016,42,0.01081659,0.0081522,0.00949768
404,2016,43,0.01138993,0.00851734,0.00996631
404,2016,44,0.0120259,0.00890561,0.01047745
404,2016,45,0.01276625,0.00937702,0.01108189
404,2016,46,0.01346609,0.00982812,0.01165551
404,2016,47,0.01424888,0.01035726,0.01230908
404,2016,48,0.01511161,0.01094199,0.01302988
404,2016,49,0.01599024,0.01155196,0.01377046
404,2016,50,0.01707497,0.01222647,0.01464513
404,2016,51,0.01786544,0.012792,0.01531679
404,2016,52,0.01891413,0.0135095,0.01619157
404,2016,53,0.01987609,0.01415839,0.01698713
404,2016,54,0.02093822,0.01489789,0.01787668
